tarih,buyukluk,derinlik_km,kaynak
2024-02-11T04:36:29,4.4,5.74,AFAD
2024-02-03T03:09:26,4.3,7,AFAD
2024-01-27T05:19:19,5.1,8.51,AFAD
2024-01-25T22:01:49,4.4,12.56,AFAD
2024-01-25T13:04:04,5.2,13.88,AFAD
2024-01-23T20:04:43,4.1,38.82,AFAD
2024-01-21T12:41:35,4,9.7,AFAD
2024-01-19T22:27:34,4.4,5.33,AFAD
2024-01-18T20:37:23,4,7.01,AFAD
2024-01-18T06:05:36,4,18.98,AFAD
2024-01-10T21:40:23,4.3,14.82,AFAD
2024-01-10T19:38:43,4.2,7,AFAD
2024-01-09T21:34:30,4.2,16.81,AFAD
2024-01-09T19:20:09,4.1,6.97,AFAD
2024-01-08T13:19:12,4.4,8.97,AFAD
2024-01-06T12:10:09,4,8.76,AFAD
2024-01-06T11:53:31,4.2,9.18,AFAD
2024-01-05T22:03:52,4.2,7.31,AFAD
2024-01-02T08:44:46,4.1,5.2,AFAD
2024-01-01T13:28:18,4.2,8.7,AFAD
2023-12-31T17:06:03,4.5,2.52,AFAD
2023-12-31T16:37:52,4.5,5.27,AFAD
2023-12-30T13:26:24,4.2,9.36,AFAD
2023-12-28T10:40:34,4,57.39,AFAD
2023-12-28T09:34:05,4.6,17.3,AFAD
2023-12-27T13:04:12,4.5,7,AFAD
2023-12-27T07:55:12,4.3,9.69,AFAD
2023-12-21T18:24:33,4.1,9.19,AFAD
2023-12-18T20:23:14,4.1,7,AFAD
2023-12-17T22:15:50,4.3,15.03,AFAD
2023-12-17T20:53:52,4.1,11.18,AFAD
2023-12-16T17:33:43,4,29.62,AFAD
2023-12-04T07:42:20,5.1,8.98,AFAD
2023-12-01T00:18:49,4.8,7,AFAD
2023-11-23T14:49:57,4.7,6.48,AFAD
2023-11-23T14:46:08,5.2,11.96,AFAD
2023-11-20T07:36:04,4.5,7,AFAD
2023-11-17T13:19:29,4.1,6.22,AFAD
2023-11-15T22:32:10,4,11.5,AFAD
2023-11-13T14:58:04,4.4,18.14,AFAD
2023-11-13T05:28:27,4.4,13.23,AFAD
2023-11-11T09:05:32,4.2,89.75,AFAD
2023-11-09T02:32:14,4.8,8.28,AFAD
2023-11-08T12:39:41,4.5,95.4,AFAD
2023-11-07T20:05:48,4.1,4.33,AFAD
2023-11-03T23:50:19,4,15.73,AFAD
2023-11-03T03:55:37,4.1,11.22,AFAD
2023-10-30T16:25:47,4.2,7.07,AFAD
2023-10-28T15:49:03,4,7.02,AFAD
2023-10-24T00:39:33,4.3,7.5,AFAD
2023-10-21T05:05:11,4,12.82,AFAD
2023-10-21T03:47:56,4.2,6.4,AFAD
2023-10-18T12:55:25,4.2,7,AFAD
2023-10-16T11:51:01,4.1,6.89,AFAD
2023-10-14T14:07:09,4.5,7.7,AFAD
2023-10-12T11:04:04,4.7,7,AFAD
2023-10-09T06:28:53,4.3,6.96,AFAD
2023-10-07T22:01:46,4.4,5.93,AFAD
2023-10-05T15:23:18,4.3,8.04,AFAD
2023-10-04T07:58:14,4,10.81,AFAD
2023-09-30T09:38:52,4.1,6.28,AFAD
2023-09-28T18:42:46,4,9.81,AFAD
2023-09-28T06:18:23,4,15.77,AFAD
2023-09-23T08:22:21,4.6,8.48,AFAD
2023-09-10T21:43:48,4.8,7,AFAD
2023-09-08T02:03:01,4,11.47,AFAD
2023-09-04T05:26:08,4.4,6.64,AFAD
2023-08-29T04:58:14,4.8,13.57,AFAD
2023-08-27T03:09:43,4.1,57.6,AFAD
2023-08-26T08:58:43,4.1,6.99,AFAD
2023-08-24T05:35:23,5,7,AFAD
2023-08-23T18:22:32,4.1,7,AFAD
